ts;tr;tm
1591820459;21.6;19.7
1591821059;21.6;19.7
1591821359;21.6;19.5
1591821659;21.6;19.5
1591821959;21.6;19.3
1591822259;21.6;19.3
1591822559;21.6;19.2
1591823159;21.6;19.1
1591823459;21.6;18.9
1591823759;21.5;18.9
1591824059;21.5;19.1
1591824359;21.5;19.0
1591824659;21.5;19.1
1591824959;21.5;19.0
1591825259;21.5;19.2
1591825559;21.5;19.3
1591825859;21.5;19.3
1591826159;21.5;19.5
1591826459;21.5;19.5
1591826759;21.5;19.7
1591827059;21.5;19.9
1591828259;21.5;19.1
1591828559;21.5;18.9
1591828859;21.5;18.9
1591829159;21.5;18.7
1591829759;21.5;18.9
1591830059;21.4;19.2
1591830659;21.5;19.1
1591830959;21.5;19.2
1591831259;21.4;19.4
1591831559;21.5;19.4
1591831859;21.4;19.3
1591832159;21.4;19.2
1591832459;21.4;19.5
1591833059;21.4;19.4
1591833359;21.4;19.5
1591833659;21.4;19.4
1591833959;21.3;19.4
1591835159;21.4;19.4
1591835459;21.4;19.4
1591835759;21.4;19.5
1591836059;21.4;19.4
1591836359;21.4;19.5
1591836959;21.4;19.8
1591837259;21.4;19.9
1591837859;21.4;19.8
1591838159;21.4;19.7
1591838459;21.3;19.7
1591838759;21.4;19.9
1591839059;21.4;19.8
1591839359;21.3;19.6
1591839659;21.4;19.7
1591840259;21.4;19.6
1591840559;21.4;19.7
1591840858;21.4;19.9
1591841158;21.4;19.8
1591842058;21.4;19.8
1591842358;21.5;20.4
1591842658;21.5;20.4
1591842958;21.6;20.2
1591843258;21.6;20.2
1591843558;21.7;20.2
1591844158;21.8;20.2
1591844458;21.8;20.3
1591844758;21.9;20.3
1591845058;21.9;20.5
1591845358;21.9;20.5
1591845658;22.0;20.7
1591845958;22.0;20.9
1591846558;22.2;21.2
1591846858;22.3;21.7
1591847158;22.3;22.6
1591847458;22.4;22.0
1591847758;22.4;21.9
1591848058;22.5;21.9
1591848658;22.6;21.0
1591849258;22.7;21.1
1591849558;22.7;21.4
1591849858;22.8;21.7
1591850458;22.9;22.2
1591850758;22.9;22.1
1591851058;23.0;22.2
1591851358;22.9;22.3
1591851658;23.0;22.4
1591852258;23.0;23.3
1591852558;23.0;24.0
1591853458;23.0;24.2
1591853758;23.1;24.5
1591854058;23.0;24.4
1591854358;23.0;25.3
1591854658;23.1;25.2
1591855258;23.0;25.4
1591855558;23.0;25.1
1591856158;23.0;25.4
1591856458;23.1;25.8
1591857058;23.0;25.3
1591857658;23.1;25.5
1591858558;23.1;25.4
1591858858;23.0;25.3
1591859158;23.0;26.0
1591859458;23.0;26.1
1591859758;23.0;26.6
1591860058;23.0;26.9
1591860658;22.9;26.9
1591861558;22.9;26.2
1591861857;22.9;26.4
1591862157;23.0;27.2
1591862457;22.9;26.5
1591862757;22.9;26.5
1591863357;23.0;27.5
1591864257;22.9;26.7
1591864557;22.9;27.2
1591864857;22.9;27.2
1591865157;22.8;27.4
1591865457;22.9;27.7
1591865757;22.9;26.9
1591866057;22.9;28.0
1591866357;22.9;27.4
1591866657;22.9;27.3
1591866957;22.9;27.3
1591867257;22.8;27.1
1591867557;22.9;27.7
1591867857;22.9;27.5
1591868457;22.9;27.1
1591869057;22.8;27.5
1591869357;22.9;27.5
1591869657;22.9;28.7
1591869957;22.9;28.5
1591870557;22.9;28.4
1591870857;22.8;28.3
1591871757;22.9;28.3
1591872057;22.9;28.0
1591872357;22.9;28.0
1591872657;22.9;27.7
1591872957;22.9;27.7
1591873257;22.9;28.3
1591873557;22.8;28.6
1591873857;22.9;28.9
1591874157;22.9;28.5
1591874457;22.8;28.0
1591875057;22.9;29.4
1591875357;22.9;29.0
1591875657;22.9;29.3
1591875957;22.9;28.9
1591876257;22.8;28.5
1591876557;22.9;28.6
1591876857;22.9;28.9
1591877157;22.9;28.8
1591878357;22.9;28.7
1591878657;22.9;28.7
1591878957;22.9;28.9
1591879257;22.9;29.1
1591879557;22.9;29.8
1591880157;22.9;29.4
1591880757;22.9;29.1
1591881057;23.0;29.8
1591881357;22.9;28.8
1591881657;22.9;28.9
1591881957;23.0;29.1
1591882557;22.9;28.9
1591882856;23.0;29.2
1591883156;23.0;29.1
1591883456;22.9;28.6
1591883756;23.0;29.0
1591884056;23.0;29.6
1591884356;23.0;29.3
1591884656;23.0;29.2
1591884956;23.0;29.4
1591885256;23.0;29.5
1591885556;23.0;29.4
1591885856;23.0;29.8
1591886156;23.0;29.4
1591886456;23.0;29.9
1591886756;23.0;29.4
1591887056;23.0;29.4
1591887956;23.0;29.4
1591888256;23.0;29.7
1591888556;23.0;29.4
1591889156;23.1;29.5
1591889456;23.1;29.4
1591889756;23.0;29.3
1591890056;23.1;29.3
1591890656;23.0;28.9
1591890956;23.0;28.7
1591891256;23.1;28.6
1591891556;23.0;28.5
1591891856;23.0;28.5
1591892156;23.0;28.4
1591892456;23.0;28.4
1591892756;23.0;28.4
1591893056;23.0;28.3
1591893356;23.0;28.4
1591893656;22.9;28.3
1591893956;22.9;28.3
1591894256;22.9;28.1
1591894556;22.9;26.7
1591895156;22.9;25.7
1591895456;22.8;25.5
1591895756;22.8;25.4
1591896056;22.9;25.3
1591896356;22.8;25.3
1591896956;22.9;25.1
1591897256;22.8;25.2
1591897856;22.8;25.0
1591898156;22.8;25.0
1591898456;22.8;24.9
1591898756;22.8;24.9
1591899356;22.8;24.8
1591899656;22.7;24.8
1591900256;22.7;24.6
1591900556;22.7;24.5
1591900856;22.7;24.6
1591901156;22.7;24.3
1591901456;22.7;24.5
1591901756;22.7;24.6
1591902056;22.7;24.5
1591902356;22.7;24.3
1591902656;22.6;24.4
1591902956;22.7;24.2
1591903256;22.6;23.9
1591903556;22.7;24.0
1591904455;22.6;23.9
1591905055;22.6;23.7
1591905355;22.6;23.6
1591905655;22.6;23.4
1591905955;22.5;23.5
1591906555;22.5;23.1
1591906855;22.5;23.1
1591907155;22.5;22.9
1591907455;22.5;22.7
