ts;humidity;light;motion;temperature;vdd
1593601656415;52;45;0;23.3;3530
1593601957475;52;52;0;23.2;3530
1593602257307;52;51;0;23.3;3530
1593602557115;52;45;0;23.3;3530
1593602857279;52;48;0;23.3;3533
1593603158291;52;55;0;23.3;3533
1593603456659;52;53;0;23.3;3530
1593603757151;52;57;0;23.3;3530
1593604056431;52;66;0;23.3;3533
1593604357695;52;50;0;23.3;3533
1593604655530;52;51;0;23.3;3530
1593604957463;52;56;0;23.3;3533
1593605256459;52;47;0;23.3;3530
1593605557711;52;44;0;23.3;3533
1593605856967;52;44;0;23.3;3533
1593606158231;52;45;0;23.3;3533
1593606457903;52;50;0;23.3;3533
1593606758703;52;36;0;23.4;3533
1593607055624;52;22;0;23.4;3533
1593607356832;52;29;0;23.4;3533
1593607656703;51;40;0;23.3;3533
1593607956611;51;29;0;23.4;3533
1593608255831;51;50;0;23.4;3533
1593608557991;51;64;0;23.3;3533
1593608863594;51;86;0;23.4;3530
1593609157933;51;82;0;23.4;3533
1593609457075;51;34;0;23.4;3530
1593609758936;51;41;0;23.4;3530
1593610055659;51;24;0;23.4;3533
1593610355831;51;17;0;23.4;3533
1593610656431;51;17;0;23.4;3535
1593610956355;51;10;0;23.4;3533
1593611257003;51;7;0;23.4;3533
1593611556416;51;4;0;23.4;3533
1593611855831;51;3;0;23.3;3533
1593612156029;51;3;0;23.3;3533
1593612456439;51;3;0;23.4;3533
1593612755491;51;8;0;23.4;3533
1593613055671;51;21;0;23.4;3535
1593613355683;52;26;0;23.3;3533
1593613655811;52;22;0;23.3;3530
1593613955479;52;25;0;23.3;3533
1593614254987;52;26;0;23.3;3530
1593614554963;52;28;0;23.3;3530
1593614856311;52;32;0;23.2;3533
1593615155503;52;41;0;23.3;3533
1593615456371;52;171;0;23.3;3533
1593615756691;52;146;0;23.3;3533
1593616056031;52;145;0;23.3;3530
1593616357467;52;16;0;23.3;3533
1593616659066;52;38;0;23.3;3533
1593616955767;52;86;0;23.3;3530
1593617256618;52;58;0;23.3;3530
1593617555368;52;39;0;23.3;3533
1593617859320;52;48;0;23.3;3533
1593618155927;52;64;0;23.3;3533
1593618457239;52;40;0;23.3;3533
1593618757099;52;47;0;23.3;3533
1593619057431;52;38;0;23.3;3530
1593619356227;53;39;0;23.3;3533
1593619658307;53;29;0;23.3;3533
1593619956283;53;10;0;23.3;3530
1593620257985;53;7;0;23.3;3533
1593620556903;53;6;0;23.2;3530
1593620856246;53;6;0;23.2;3533
1593621155235;53;7;0;23.3;3530
1593621458390;53;7;0;23.2;3530
1593621757431;53;6;0;23.2;3530
1593622057744;53;7;0;23.3;3533
1593622356215;53;8;0;23.2;3530
1593622659046;53;6;0;23.2;3533
1593622956995;53;5;0;23.2;3533
1593623257818;53;4;0;23.2;3533
1593623556831;53;3;0;23.2;3530
1593623858591;54;3;0;23.2;3530
1593624156343;54;3;0;23.2;3530
1593624454947;54;3;0;23.2;3530
1593624754431;54;2;0;23.2;3530
1593625056025;54;2;0;23.2;3533
1593625356419;54;1;0;23.1;3533
1593625656279;54;1;0;23.2;3533
1593625954907;54;1;0;23.2;3533
1593626255567;54;1;0;23.1;3533
1593626555591;54;1;0;23.1;3533
1593626855575;54;1;0;23.1;3530
1593627157880;54;1;0;23.1;3530
1593627456218;54;1;0;23.1;3530
1593627757183;54;1;0;23.1;3530
1593628054815;54;1;0;23.1;3533
1593628355587;54;1;0;23.1;3530
1593628654891;54;1;0;23.1;3530
1593628955755;54;1;0;23.1;3533
1593629257764;54;1;0;23.1;3530
1593629555991;54;1;0;23.1;3530
1593629856115;54;1;0;23.1;3530
1593630156572;54;1;0;23.1;3533
1593630454779;55;1;0;23.1;3530
1593630755651;54;1;0;23.1;3530
1593631054719;55;1;0;23.1;3530
1593631354555;55;1;0;23;3530
1593631656797;55;1;0;23.1;3530
1593631954811;55;1;0;23;3530
1593632254631;55;1;0;23.1;3530
1593632554639;55;1;0;23.1;3530
1593632856643;55;1;0;23;3530
1593633154799;55;1;0;23.1;3530
1593633454495;55;1;0;23;3530
1593633755083;55;1;0;23;3530
1593634054899;55;1;0;23;3530
1593634354675;55;1;0;23;3533
1593634654435;55;1;0;23.1;3530
1593634957102;55;1;0;23;3530
1593635255755;55;1;0;23;3530
1593635558980;55;1;0;23;3530
1593635855975;55;1;0;23;3530
1593636155041;55;1;0;23;3530
1593636457541;55;1;0;23;3530
1593636757072;55;1;0;23;3530
1593637054836;55;1;0;23;3533
1593637355117;55;1;0;23;3530
1593637655983;55;1;0;22.9;3530
1593637953935;55;1;0;23;3530
1593638254735;55;1;0;22.9;3530
1593638553668;55;1;0;23;3533
1593638853879;55;1;0;22.9;3530
1593639157408;55;1;0;22.9;3530
1593639455339;55;1;0;22.9;3530
1593639754479;55;1;0;22.9;3530
1593640053491;55;1;0;22.9;3530
1593640353962;55;1;0;22.9;3533
1593640655508;55;1;0;22.9;3530
1593640955113;55;1;0;22.9;3530
1593641254107;55;1;0;22.9;3530
1593641554099;55;1;0;22.9;3530
1593641855451;55;1;0;22.9;3530
1593642156843;55;1;0;22.9;3530
1593642457791;55;1;0;22.9;3530
1593642755959;55;1;0;22.9;3530
1593643056435;55;1;0;22.9;3530
1593643355786;55;1;0;22.9;3530
1593643654964;55;1;0;22.9;3530
1593643955013;55;1;0;22.8;3533
1593644256751;55;1;0;22.8;3530
1593644553915;55;1;0;22.8;3530
1593644854548;55;1;0;22.9;3530
1593645154945;55;1;0;22.8;3530
1593645454371;55;1;0;22.9;3530
1593645754035;55;1;0;22.9;3530
1593646053423;55;1;0;22.8;3530
1593646356326;55;1;0;22.8;3530
1593646653787;55;1;0;22.8;3530
1593646955595;55;1;0;22.8;3530
1593647255079;55;1;0;22.8;3530
1593647555023;55;1;0;22.8;3530
1593647854619;55;1;0;22.8;3530
1593648155023;55;1;0;22.8;3530
1593648454175;55;1;0;22.8;3530
1593648754674;55;1;0;22.8;3530
1593649053991;55;1;0;22.8;3533
1593649355800;55;1;0;22.8;3530
1593649654579;55;0;0;22.7;3530
1593649956379;55;1;0;22.8;3530
1593650253836;55;1;0;22.8;3530
1593650555735;55;1;0;22.8;3530
1593650854435;55;1;0;22.8;3530
1593651154813;55;1;0;22.7;3530
1593651453175;55;1;0;22.7;3530
1593651755839;55;1;0;22.8;3530
1593652058071;54;1;0;22.8;3530
1593652354695;55;1;0;22.7;3530
1593652654279;55;1;0;22.8;3530
1593652953859;54;1;0;22.8;3533
1593653254031;54;1;0;22.8;3530
1593653555163;54;2;0;22.7;3530
1593653854555;54;2;0;22.8;3530
1593654155247;54;2;0;22.7;3530
1593654453291;54;2;0;22.8;3530
1593654754431;54;3;0;22.8;3530
1593655054883;54;2;0;22.8;3530
1593655354659;54;2;0;22.8;3530
1593655654707;54;3;0;22.7;3530
1593655955635;54;4;0;22.7;3530
1593656255191;54;4;0;22.7;3530
1593656555219;54;4;0;22.7;3528
1593656855375;54;3;0;22.7;3530
1593657158203;54;4;0;22.7;3530
1593657454031;54;5;0;22.7;3530
1593657754795;54;5;0;22.7;3530
1593658062523;54;6;0;22.7;3530
1593658355436;54;7;0;22.8;3530
1593658654256;54;7;0;22.7;3530
1593658955761;54;6;0;22.7;3530
1593659253755;54;5;0;22.8;3530
1593659554503;54;5;0;22.7;3530
1593659852991;54;10;0;22.8;3530
1593660153459;54;30;0;22.7;3530
1593660454779;54;20;0;22.8;3530
1593660755227;54;17;0;22.8;3530
1593661053471;54;17;0;22.8;3530
1593661353031;54;16;0;22.7;3530
