ts;co2;humidity;light;motion;temperature;vdd;;
1.58828E+12;411;23;0;0;20.7;3633;;30.04.20 21:01
1.58828E+12;408;23;0;0;20.7;3633;;30.04.20 21:06
1.58828E+12;413;23;0;0;20.7;3630;;30.04.20 21:11
1.58828E+12;407;23;0;0;20.7;3630;;30.04.20 21:16
1.58828E+12;421;23;0;0;20.7;3630;;30.04.20 21:21
1.58828E+12;413;23;0;0;20.7;3633;;30.04.20 21:26
1.58828E+12;407;23;0;0;20.7;3633;;30.04.20 21:31
1.58828E+12;412;23;0;0;20.7;3633;;30.04.20 21:36
1.58828E+12;410;23;0;0;20.7;3633;;30.04.20 21:41
1.58828E+12;411;23;0;0;20.7;3633;;30.04.20 21:46
1.58828E+12;413;23;0;0;20.7;3633;;30.04.20 21:51
1.58828E+12;410;23;0;0;20.7;3633;;30.04.20 21:56
1.58828E+12;413;23;0;0;20.7;3633;;30.04.20 22:01
1.58828E+12;409;23;0;0;20.7;3633;;30.04.20 22:06
1.58828E+12;411;23;0;0;20.7;3633;;30.04.20 22:11
1.58828E+12;417;23;0;0;20.6;3633;;30.04.20 22:16
1.58829E+12;410;23;0;0;20.7;3630;;30.04.20 22:21
1.58829E+12;413;23;0;0;20.6;3633;;30.04.20 22:26
1.58829E+12;416;23;0;0;20.6;3633;;30.04.20 22:31
1.58829E+12;415;23;0;0;20.6;3633;;30.04.20 22:36
1.58829E+12;413;23;0;0;20.7;3633;;30.04.20 22:41
1.58829E+12;418;23;0;0;20.6;3630;;30.04.20 22:46
1.58829E+12;422;23;0;0;20.6;3633;;30.04.20 22:51
1.58829E+12;416;23;0;0;20.6;3630;;30.04.20 22:56
1.58829E+12;407;23;0;0;20.6;3630;;30.04.20 23:01
1.58829E+12;407;23;0;0;20.5;3633;;30.04.20 23:06
1.58829E+12;415;23;0;0;20.6;3633;;30.04.20 23:11
1.58829E+12;417;23;0;0;20.6;3630;;30.04.20 23:16
1.58829E+12;417;23;0;0;20.6;3633;;30.04.20 23:21
1.58829E+12;413;23;0;0;20.5;3633;;30.04.20 23:26
1.58829E+12;415;23;0;0;20.5;3633;;30.04.20 23:31
1.58829E+12;408;23;0;0;20.5;3633;;30.04.20 23:36
1.58829E+12;416;23;0;0;20.5;3633;;30.04.20 23:41
1.58829E+12;419;24;0;0;20.5;3630;;30.04.20 23:46
1.58829E+12;416;24;0;0;20.5;3630;;30.04.20 23:51
1.58829E+12;421;24;0;0;20.5;3630;;30.04.20 23:56
1.58829E+12;417;24;0;0;20.5;3633;;01.05.20 0:01
1.58829E+12;419;24;0;0;20.5;3633;;01.05.20 0:06
1.58829E+12;413;24;0;0;20.4;3630;;01.05.20 0:11
1.58829E+12;413;24;0;0;20.4;3630;;01.05.20 0:16
1.58829E+12;419;24;0;0;20.4;3633;;01.05.20 0:21
1.58829E+12;422;24;0;0;20.4;3630;;01.05.20 0:26
1.58829E+12;405;24;0;0;20.5;3633;;01.05.20 0:31
1.58829E+12;411;24;0;0;20.4;3630;;01.05.20 0:36
1.58829E+12;410;24;0;0;20.4;3633;;01.05.20 0:41
1.58829E+12;411;24;0;0;20.4;3630;;01.05.20 0:46
1.58829E+12;419;24;0;0;20.4;3633;;01.05.20 0:51
1.58829E+12;416;24;0;0;20.4;3633;;01.05.20 0:56
1.58829E+12;414;25;0;0;20.4;3633;;01.05.20 1:01
1.5883E+12;417;25;0;0;20.4;3630;;01.05.20 1:06
1.5883E+12;407;25;0;0;20.4;3633;;01.05.20 1:11
1.5883E+12;413;25;0;0;20.3;3633;;01.05.20 1:16
1.5883E+12;411;25;0;0;20.3;3633;;01.05.20 1:21
1.5883E+12;413;25;0;0;20.3;3633;;01.05.20 1:26
1.5883E+12;410;25;0;0;20.4;3633;;01.05.20 1:31
1.5883E+12;412;25;0;0;20.3;3633;;01.05.20 1:36
1.5883E+12;411;25;0;0;20.3;3633;;01.05.20 1:41
1.5883E+12;409;25;0;0;20.3;3633;;01.05.20 1:46
1.5883E+12;412;25;1;0;20.3;3630;;01.05.20 1:51
1.5883E+12;412;25;2;0;20.3;3633;;01.05.20 1:56
1.5883E+12;418;25;6;0;20.3;3630;;01.05.20 2:01
1.5883E+12;409;25;9;0;20.3;3630;;01.05.20 2:06
1.5883E+12;415;25;15;0;20.2;3633;;01.05.20 2:11
1.5883E+12;415;25;27;0;20.3;3630;;01.05.20 2:16
1.5883E+12;414;25;62;0;20.2;3633;;01.05.20 2:21
1.5883E+12;417;25;150;0;20.2;3630;;01.05.20 2:26
1.5883E+12;406;25;178;0;20.3;3633;;01.05.20 2:31
1.5883E+12;413;25;242;0;20.3;3630;;01.05.20 2:36
1.5883E+12;413;25;291;0;20.3;3633;;01.05.20 2:41
1.5883E+12;417;25;329;0;20.3;3630;;01.05.20 2:46
1.5883E+12;418;25;356;0;20.4;3630;;01.05.20 2:51
1.5883E+12;413;26;132;0;20.5;3630;;01.05.20 2:56
1.5883E+12;414;26;139;0;20.5;3630;;01.05.20 3:01
1.5883E+12;411;26;121;0;20.5;3633;;01.05.20 3:06
1.5883E+12;423;26;117;0;20.5;3633;;01.05.20 3:11
1.5883E+12;416;26;126;0;20.6;3630;;01.05.20 3:16
1.5883E+12;416;26;114;0;20.6;3630;;01.05.20 3:21
1.5883E+12;413;26;124;0;20.6;3633;;01.05.20 3:26
1.5883E+12;410;26;220;0;20.6;3630;;01.05.20 3:31
1.5883E+12;418;26;165;0;20.6;3630;;01.05.20 3:36
1.5883E+12;412;26;202;0;20.6;3633;;01.05.20 3:41
1.5883E+12;413;26;496;0;20.7;3630;;01.05.20 3:46
1.58831E+12;413;26;418;0;20.7;3633;;01.05.20 3:51
1.58831E+12;412;26;180;0;20.7;3633;;01.05.20 3:56
1.58831E+12;416;26;194;0;20.7;3633;;01.05.20 4:01
1.58831E+12;416;26;182;0;20.7;3630;;01.05.20 4:06
1.58831E+12;411;26;252;0;20.7;3630;;01.05.20 4:11
1.58831E+12;419;25;162;0;20.7;3633;;01.05.20 4:16
