ts;co2;humidity;light;motion;temperature;vdd;;
1.58828E+12;419;23;1;0;20.2;3641;;30.04.20 21:02
1.58828E+12;410;24;1;0;20.2;3641;;30.04.20 21:07
1.58828E+12;419;23;1;0;20.2;3639;;30.04.20 21:12
1.58828E+12;415;24;1;0;20.2;3641;;30.04.20 21:17
1.58828E+12;411;24;1;0;20.1;3639;;30.04.20 21:32
1.58828E+12;416;24;1;0;20.2;3641;;30.04.20 21:37
1.58828E+12;424;24;1;0;20.2;3639;;30.04.20 21:42
1.58828E+12;422;24;0;0;20.1;3639;;30.04.20 21:47
1.58828E+12;414;24;1;0;20.2;3639;;30.04.20 21:52
1.58828E+12;416;24;1;0;20.2;3641;;30.04.20 21:57
1.58828E+12;417;24;1;0;20.1;3641;;30.04.20 22:02
1.58828E+12;411;24;0;0;20.2;3639;;30.04.20 22:07
1.58829E+12;417;24;1;0;20.1;3639;;30.04.20 22:17
1.58829E+12;417;24;1;0;20.1;3641;;30.04.20 22:22
1.58829E+12;417;24;0;0;20.1;3639;;30.04.20 22:27
1.58829E+12;417;24;1;0;20.1;3639;;30.04.20 22:32
1.58829E+12;414;24;1;0;20.1;3639;;30.04.20 22:42
1.58829E+12;421;24;1;0;20.1;3639;;30.04.20 22:47
1.58829E+12;416;24;0;0;20.1;3639;;30.04.20 22:52
1.58829E+12;416;24;0;0;20;3641;;30.04.20 22:57
1.58829E+12;414;24;1;0;20.1;3639;;30.04.20 23:12
1.58829E+12;428;24;1;0;20.1;3639;;30.04.20 23:17
1.58829E+12;418;24;1;0;20;3641;;30.04.20 23:27
1.58829E+12;417;24;0;0;20;3639;;30.04.20 23:32
1.58829E+12;417;24;0;0;20.1;3639;;30.04.20 23:37
1.58829E+12;418;24;0;0;20;3639;;30.04.20 23:42
1.58829E+12;416;24;0;0;20;3639;;30.04.20 23:47
1.58829E+12;425;24;1;0;20;3641;;30.04.20 23:52
1.58829E+12;418;24;0;0;20;3639;;01.05.20 0:07
1.58829E+12;425;24;1;0;20;3639;;01.05.20 0:12
1.58829E+12;419;24;1;0;20;3639;;01.05.20 0:17
1.58829E+12;407;25;0;0;20;3639;;01.05.20 0:32
1.58829E+12;418;25;1;0;20;3641;;01.05.20 0:37
1.58829E+12;420;25;0;0;19.9;3641;;01.05.20 0:52
1.58829E+12;419;25;1;0;19.9;3639;;01.05.20 0:57
